Month,Tampa-St. Petersburg (Sarasota) FL,Chicago IL
2004-01,36,31
2004-02,25,28
2004-03,29,26
2004-04,29,25
2004-05,26,26
2004-06,26,27
2004-07,30,24
2004-08,27,25
2004-09,24,27
2004-10,28,30
2004-11,32,29
2004-12,39,35
2005-01,31,29
2005-02,25,28
2005-03,29,26
2005-04,32,26
2005-05,22,25
2005-06,22,25
2005-07,36,39
2005-08,33,28
2005-09,27,26
2005-10,31,29
2005-11,39,34
2005-12,39,38
2006-01,28,30
2006-02,29,28
2006-03,27,28
2006-04,27,24
2006-05,23,25
2006-06,25,25
2006-07,24,25
2006-08,25,25
2006-09,26,26
2006-10,27,29
2006-11,35,31
2006-12,33,35
2007-01,30,29
2007-02,28,29
2007-03,27,28
2007-04,25,27
2007-05,26,25
2007-06,25,26
2007-07,25,28
2007-08,26,27
2007-09,26,28
2007-10,27,28
2007-11,31,32
2007-12,31,33
2008-01,29,30
2008-02,25,28
2008-03,25,28
2008-04,26,28
2008-05,25,26
2008-06,24,26
2008-07,24,26
2008-08,22,25
2008-09,24,25
2008-10,24,26
2008-11,30,32
2008-12,33,34
2009-01,29,31
2009-02,29,30
2009-03,23,28
2009-04,26,26
2009-05,25,27
2009-06,27,26
2009-07,27,28
2009-08,25,27
2009-09,26,30
2009-10,27,30
2009-11,33,33
2009-12,36,36
2010-01,28,32
2010-02,28,30
2010-03,28,32
2010-04,27,29
2010-05,25,30
2010-06,24,30
2010-07,27,28
2010-08,26,28
2010-09,25,31
2010-10,26,29
2010-11,35,34
2010-12,37,39
2011-01,33,33
2011-02,31,32
2011-03,28,32
2011-04,27,30
2011-05,27,29
2011-06,33,36
2011-07,36,41
2011-08,35,41
2011-09,36,45
2011-10,39,43
2011-11,44,47
2011-12,44,50
2012-01,39,44
2012-02,38,46
2012-03,40,48
2012-04,37,41
2012-05,37,41
2012-06,37,47
2012-07,39,47
2012-08,41,49
2012-09,42,54
2012-10,43,47
2012-11,45,50
2012-12,50,54
2013-01,43,49
2013-02,42,44
2013-03,39,46
2013-04,40,46
2013-05,41,41
2013-06,40,42
2013-07,41,40
2013-08,36,36
2013-09,36,38
2013-10,35,39
2013-11,39,39
2013-12,45,43
2014-01,37,40
2014-02,36,38
2014-03,35,38
2014-04,34,37
2014-05,35,35
2014-06,35,38
2014-07,36,40
2014-08,36,38
2014-09,38,40
2014-10,37,39
2014-11,41,41
2014-12,43,43
2015-01,39,40
2015-02,39,36
2015-03,42,37
2015-04,36,37
2015-05,36,36
2015-06,39,39
2015-07,37,46
2015-08,40,41
2015-09,41,47
2015-10,39,43
2015-11,44,47
2015-12,50,53
2016-01,41,48
2016-02,42,45
2016-03,35,46
2016-04,39,46
2016-05,38,46
2016-06,38,44
2016-07,38,45
2016-08,39,45
2016-09,45,50
2016-10,41,48
2016-11,47,50
2016-12,60,62
2017-01,48,50
2017-02,47,49
2017-03,48,51
2017-04,46,50
2017-05,44,49
2017-06,47,50
2017-07,50,56
2017-08,48,50
2017-09,45,53
2017-10,47,52
2017-11,55,59
2017-12,59,61
2018-01,57,55
2018-02,48,50
2018-03,53,52
2018-04,49,54
2018-05,50,50
2018-06,51,53
2018-07,53,57
2018-08,55,55
2018-09,55,59
2018-10,48,55
2018-11,56,61
2018-12,63,63
2019-01,56,59
2019-02,51,56
2019-03,51,56
2019-04,51,54
2019-05,50,55
2019-06,53,57
2019-07,52,58
2019-08,55,59
2019-09,53,58
2019-10,54,57
2019-11,58,62
2019-12,61,66
2020-01,57,60
2020-02,55,59
2020-03,48,54
2020-04,61,68
2020-05,55,65
2020-06,57,59
2020-07,57,59
2020-08,55,60
2020-09,57,63
2020-10,57,63
2020-11,56,61
2020-12,64,69
2021-01,59,61
2021-02,57,62
2021-03,57,59
2021-04,57,55
2021-05,58,63
2021-06,60,60
2021-07,60,63
2021-08,59,59
2021-09,63,63
2021-10,60,67
2021-11,69,77
2021-12,69,73
2022-01,69,68
2022-02,69,67
2022-03,68,69
2022-04,65,66
2022-05,63,63
2022-06,62,66
2022-07,68,69
2022-08,68,70
2022-09,63,69
2022-10,63,70
2022-11,74,75
2022-12,72,76
2023-01,72,72
2023-02,71,66
2023-03,69,67
2023-04,66,69
2023-05,67,66
2023-06,68,69
2023-07,69,72
2023-08,65,70
2023-09,70,73
2023-10,70,71
2023-11,75,77
2023-12,79,79
2024-01,78,74
2024-02,74,70
2024-03,69,70
2024-04,76,72
2024-05,78,72
2024-06,76,77
2024-07,76,74
2024-08,77,72
2024-09,75,77
2024-10,65,80
2024-11,79,79
2024-12,83,84
2025-01,82,80
2025-02,81,79
2025-03,87,83
2025-04,80,82
2025-05,84,84
2025-06,89,86
2025-07,100,100
2025-08,95,95
