,Category: All categories
Time,coffee: (United States)
2025-08-04T22:20:00-05:00,47
2025-08-04T22:28:00-05:00,49
2025-08-04T22:36:00-05:00,46
2025-08-04T22:44:00-05:00,47
2025-08-04T22:52:00-05:00,47
2025-08-04T23:00:00-05:00,46
2025-08-04T23:08:00-05:00,49
2025-08-04T23:16:00-05:00,44
2025-08-04T23:24:00-05:00,45
2025-08-04T23:32:00-05:00,44
2025-08-04T23:40:00-05:00,43
2025-08-04T23:48:00-05:00,43
2025-08-04T23:56:00-05:00,42
2025-08-05T00:04:00-05:00,44
2025-08-05T00:12:00-05:00,44
2025-08-05T00:20:00-05:00,42
2025-08-05T00:28:00-05:00,42
2025-08-05T00:36:00-05:00,44
2025-08-05T00:44:00-05:00,46
2025-08-05T00:52:00-05:00,39
2025-08-05T01:00:00-05:00,41
2025-08-05T01:08:00-05:00,38
2025-08-05T01:16:00-05:00,41
2025-08-05T01:24:00-05:00,45
2025-08-05T01:32:00-05:00,38
2025-08-05T01:40:00-05:00,39
2025-08-05T01:48:00-05:00,39
2025-08-05T01:56:00-05:00,36
2025-08-05T02:04:00-05:00,36
2025-08-05T02:12:00-05:00,99
2025-08-05T02:20:00-05:00,46
2025-08-05T02:28:00-05:00,100
2025-08-05T02:36:00-05:00,40
2025-08-05T02:44:00-05:00,31
2025-08-05T02:52:00-05:00,36
2025-08-05T03:00:00-05:00,35
2025-08-05T03:08:00-05:00,36
2025-08-05T03:16:00-05:00,38
2025-08-05T03:24:00-05:00,37
2025-08-05T03:32:00-05:00,49
2025-08-05T03:40:00-05:00,44
2025-08-05T03:48:00-05:00,44
2025-08-05T03:56:00-05:00,40
2025-08-05T04:04:00-05:00,47
2025-08-05T04:12:00-05:00,60
2025-08-05T04:20:00-05:00,45
2025-08-05T04:28:00-05:00,47
2025-08-05T04:36:00-05:00,50
2025-08-05T04:44:00-05:00,59
2025-08-05T04:52:00-05:00,59
2025-08-05T05:00:00-05:00,65
2025-08-05T05:08:00-05:00,65
2025-08-05T05:16:00-05:00,62
2025-08-05T05:24:00-05:00,71
2025-08-05T05:32:00-05:00,78
2025-08-05T05:40:00-05:00,74
2025-08-05T05:48:00-05:00,83
2025-08-05T05:56:00-05:00,82
2025-08-05T06:04:00-05:00,83
2025-08-05T06:12:00-05:00,85
2025-08-05T06:20:00-05:00,90
2025-08-05T06:28:00-05:00,89
2025-08-05T06:36:00-05:00,92
2025-08-05T06:44:00-05:00,97
2025-08-05T06:52:00-05:00,89
2025-08-05T07:00:00-05:00,88
2025-08-05T07:08:00-05:00,98
2025-08-05T07:16:00-05:00,97
2025-08-05T07:24:00-05:00,89
2025-08-05T07:32:00-05:00,89
2025-08-05T07:40:00-05:00,88
2025-08-05T07:48:00-05:00,89
2025-08-05T07:56:00-05:00,90
2025-08-05T08:04:00-05:00,80
2025-08-05T08:12:00-05:00,87
2025-08-05T08:20:00-05:00,85
2025-08-05T08:28:00-05:00,81
2025-08-05T08:36:00-05:00,81
2025-08-05T08:44:00-05:00,75
2025-08-05T08:52:00-05:00,77
2025-08-05T09:00:00-05:00,75
2025-08-05T09:08:00-05:00,76
2025-08-05T09:16:00-05:00,74
2025-08-05T09:24:00-05:00,74
2025-08-05T09:32:00-05:00,70
2025-08-05T09:40:00-05:00,72
2025-08-05T09:48:00-05:00,72
2025-08-05T09:56:00-05:00,69
2025-08-05T10:04:00-05:00,70
2025-08-05T10:12:00-05:00,73
2025-08-05T10:20:00-05:00,67
2025-08-05T10:28:00-05:00,70
2025-08-05T10:36:00-05:00,63
2025-08-05T10:44:00-05:00,64
2025-08-05T10:52:00-05:00,69
2025-08-05T11:00:00-05:00,61
2025-08-05T11:08:00-05:00,62
2025-08-05T11:16:00-05:00,63
2025-08-05T11:24:00-05:00,64
2025-08-05T11:32:00-05:00,63
2025-08-05T11:40:00-05:00,64
2025-08-05T11:48:00-05:00,62
2025-08-05T11:56:00-05:00,61
2025-08-05T12:04:00-05:00,68
2025-08-05T12:12:00-05:00,62
2025-08-05T12:20:00-05:00,61
2025-08-05T12:28:00-05:00,59
2025-08-05T12:36:00-05:00,57
2025-08-05T12:44:00-05:00,58
2025-08-05T12:52:00-05:00,61
2025-08-05T13:00:00-05:00,58
2025-08-05T13:08:00-05:00,57
2025-08-05T13:16:00-05:00,55
2025-08-05T13:24:00-05:00,55
2025-08-05T13:32:00-05:00,56
2025-08-05T13:40:00-05:00,55
2025-08-05T13:48:00-05:00,55
2025-08-05T13:56:00-05:00,56
2025-08-05T14:04:00-05:00,56
2025-08-05T14:12:00-05:00,57
2025-08-05T14:20:00-05:00,53
2025-08-05T14:28:00-05:00,53
2025-08-05T14:36:00-05:00,57
2025-08-05T14:44:00-05:00,54
2025-08-05T14:52:00-05:00,56
2025-08-05T15:00:00-05:00,51
2025-08-05T15:08:00-05:00,53
2025-08-05T15:16:00-05:00,54
2025-08-05T15:24:00-05:00,51
2025-08-05T15:32:00-05:00,59
2025-08-05T15:40:00-05:00,52
2025-08-05T15:48:00-05:00,54
2025-08-05T15:56:00-05:00,51
2025-08-05T16:04:00-05:00,51
2025-08-05T16:12:00-05:00,48
2025-08-05T16:20:00-05:00,49
2025-08-05T16:28:00-05:00,53
2025-08-05T16:36:00-05:00,51
2025-08-05T16:44:00-05:00,52
2025-08-05T16:52:00-05:00,54
2025-08-05T17:00:00-05:00,52
2025-08-05T17:08:00-05:00,52
2025-08-05T17:16:00-05:00,50
2025-08-05T17:24:00-05:00,51
2025-08-05T17:32:00-05:00,50
2025-08-05T17:40:00-05:00,50
2025-08-05T17:48:00-05:00,54
2025-08-05T17:56:00-05:00,51
2025-08-05T18:04:00-05:00,48
2025-08-05T18:12:00-05:00,53
2025-08-05T18:20:00-05:00,50
2025-08-05T18:28:00-05:00,52
2025-08-05T18:36:00-05:00,52
2025-08-05T18:44:00-05:00,49
2025-08-05T18:52:00-05:00,53
2025-08-05T19:00:00-05:00,50
2025-08-05T19:08:00-05:00,49
2025-08-05T19:16:00-05:00,47
2025-08-05T19:24:00-05:00,51
2025-08-05T19:32:00-05:00,51
2025-08-05T19:40:00-05:00,52
2025-08-05T19:48:00-05:00,51
2025-08-05T19:56:00-05:00,53
2025-08-05T20:04:00-05:00,47
2025-08-05T20:12:00-05:00,49
2025-08-05T20:20:00-05:00,47
2025-08-05T20:28:00-05:00,49
2025-08-05T20:36:00-05:00,49
2025-08-05T20:44:00-05:00,50
2025-08-05T20:52:00-05:00,52
2025-08-05T21:00:00-05:00,50
2025-08-05T21:08:00-05:00,48
2025-08-05T21:16:00-05:00,54
2025-08-05T21:24:00-05:00,48
2025-08-05T21:32:00-05:00,47
2025-08-05T21:40:00-05:00,48
2025-08-05T21:48:00-05:00,47
2025-08-05T21:56:00-05:00,48
2025-08-05T22:04:00-05:00,47
2025-08-05T22:12:00-05:00,52
